name,diet,period,lived_in,type,bipedal,length,weight,taxonomy,named_by,species,link,Story,dentition,taxonomy_suborder,taxonomy_family
tyrannosaurus,carnivorous,Late Cretaceous 68-66 million years ago,USA,large theropod,Yes,12.0m,7000kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Osborn (1905),rex,https://www.nhm.ac.uk/discover/dino-directory/tyrannosaurus.html,"Tyrannosaurus lives up to its reputation as one of the most fearsome animals of all time. Its powerful jaws had 60 teeth, each one up to 20cm (8 inches) long and its bite was around 3 times as powerful than that of a lion.
Bite marks found on Triceratops and Edmontosaurus fossil bones show that Tyrannosaurus could crunch through bone. Analysis of fossilised Tyrannosaurus dung show that it contained the bones of its prey.","60 saw-edged, bone-crushing, pointed teeth",Saurischia,Tyrannosaurinae
allosaurus,carnivorous,Late Jurassic 156-144 million years ago,USA,large theropod,Yes,12.0m,2000kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,,dagger-like with serrated edges,Saurischia,Allosauridae
velociraptor,carnivorous,Late Cretaceous 74-70 million years ago,Mongolia,small theropod,Yes,1.8m,7kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Osborn (1924),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/velociraptor.html,,"lots of sharp, pointed teeth",Saurischia,Dromaeosauridae
spinosaurus,carnivorous,Late Cretaceous 95-70 million years ago,Morocco,large theropod,Yes,18.0m,7400kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Stromer (1915),aegyptiacus,https://www.nhm.ac.uk/discover/dino-directory/spinosaurus.html,"Spinosaurus was a large meat-eating dinosaur from Africa. Scientists think it may have lived a semi-aquatic lifestyle.
Our understanding of Spinosaurus has changed in recent years. For over 100 years we only had very incomplete remains of this dinosaur. Plus, the few bones from the first discovery in 1912 were accidentally destroyed during the Second World War.",smooth and cone-shaped,Saurischia,Spinosaurinae
carnotaurus,carnivorous,Late Cretaceous 70 million years ago,Argentina,large theropod,Yes,7.6m,1 600kg,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Bonaparte (1985),sastrei,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html,"Carnotaurus was a meat-eating dinosaur with two horns on the top of its head and very small arms.
It had an unusually short snout and its head was very narrow when viewed from the front.
Scientists have found lots of skin impressions for this dinosaur, so we know that it had scales over much of its body. It's unlikely that Carnotaurus or its relatives had feathers - no evidence of them has ever been found.
We also don't have a complete skeleton. So far, nobody has ever found the tail or lower legs of Carnotaurus. This means we must use some guesswork based on the remains of this dinosaur's close relatives to do a full-body reconstruction.",,Saurischia,Abelisauridae
giganotosaurus,carnivorous,Early Cretaceous 112-90 million years ago,Argentina,large theropod,Yes,12.5m,8000kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Coria and Salgado (1995),carolinii,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html,"Giganotosaurus is known from very fragmentary remains.
Taller and longer but slimmer than Tyrannosaurus rex, Giganotosaurus lived millions of years earlier and in South America not North America.
Giganotosaurus had 3 fingers on its hands, not 2 like T.rex. It may have hunted Argentinosaurus.","long, blade-like and serrated - ideal for slicing",Saurischia,Carcharodontosauridae
ceratosaurus,carnivorous,Late Jurassic 153-148 million years ago,USA,large theropod,Yes,6.0m,970kg,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Marsh (1884),nasicornis,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html,"Ceratosaurus was one of the biggest hunters in the Jurassic Period. Its prey probably included plant-eating dinosaurs, but some scientists have suggested that it may have fed upon aquatic animals such as fish, turtles and crocodiles.
Ceratosaurus is remarkable for the very long, slender teeth in its upper jaw. These teeth could be over nine centimetres long, nearly as long as the lower jaw was deep, so they would almost stick out beyond it when the mouth was closed. Nobody really knows why the teeth were so long, but they may have helped it inflict deep, slashing wounds in prey.",,Saurischia,Neoceratosauria
megalosaurus,carnivorous,Mid Jurassic 170-155 million years ago,United Kingdom,large theropod,Yes,9.0m,700kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Ritgen (1826),bucklandii,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html,"Megalosaurus was a large, meat-eating dinosaur. It was one of the first dinosaurs ever found and the first named.",,Saurischia,Megalosaurinae
compsognathus,carnivorous,Late Jurassic 145-140 million years ago,Germany,small theropod,Yes,0.65m,3kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Wagner (1859),longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html,,sharp,Saurischia,Compsognathidae
dilophosaurus,carnivorous,Early Jurassic 190 million years ago,USA,large theropod,Yes,6.0m,400kg,Dinosauria Saurischia Theropoda Neotheropoda Dilophosauridae,wetherilli,,https://www.nhm.ac.uk/discover/dino-directory/dilophosaurus.html,"Dilophosaurus was a meat-eating dinosaur that lived in what's now North America.
It gets its name - meaning 'two-crested lizard' - from the distinctive double crests on top of its head.
In life, they would probably be covered with hard keratin, the same material that makes up human hair and fingernails. The crests may have looked larger or a different shape to what we can see from the fossil skull.
Nobody is certain what the crests were for. The most likely theories are that the dinosaur used them to identify other Dilophosaurus or to attract a mate. The crests probably weren't strong enough to have any use in combat.",lots of sharp and curved teeth,Saurischia,Dilophosauridae
baryonyx,carnivorous,Early Cretaceous 125 million years ago,United Kingdom,large theropod,Yes,10.0m,2000kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Charig and Milner (1987),walkeri,https://www.nhm.ac.uk/discover/dino-directory/baryonyx.html,"The mouth shape of this dinosaur was very similar to that of a crocodile, and it had a large claw, about 31cm long, probably on its thumb. Baryonyx may have crouched on river banks or waded into shallow water to hook fish with its claws. It was also a scavenger.","sharp, finely serrated teeth",Saurischia,Baryonychinae
utahraptor,carnivorous,Early Cretaceous 112-100 million years ago,USA,large theropod,Yes,6.0m,350kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Kirkland Gaston and Burge (1993),ostrommaysorum,https://www.nhm.ac.uk/discover/dino-directory/utahraptor.html,"Utahraptor was a meat-eating dinosaur that lived in what's now North America.
It was a member of the dromaeosaur group, like Velociraptor. But Utahraptor was much larger, the largest known member of this group.
It was much stockier than many of its relatives. Some other dromaeosaurs were very small and slim.","lots of sharp, pointed teeth",Saurischia,Dromaeosauridae
deinonychus,carnivorous,Early Cretaceous 120-110 million years ago,USA,small theropod,Yes,3.0m,13.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Ostrom (1969),antirrhopus,https://www.nhm.ac.uk/discover/dino-directory/deinonychus.html,"Deinonychus was a small meat-eating dinosaur. It lived in what is now North America during the Early Cretaceous Period.
This dinosaur had a large, sickle-shaped talon on the second toe of each foot. When not in use the claw was held off the ground to keep it sharp.
The species name - antirrhopus - means 'counterbalancing'. This is because Deinonychus' tail was long and stiff, helping to balance the animal's weight.",backward-curving,Saurischia,Dromaeosauridae
mapusaurus,carnivorous,Late Cretaceous 99-94 million years ago,Argentina,large theropod,Yes,13.0m,3000kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,Coria and Currie (2006),roseae,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html,"This dinosaur may have hunted in packs and lived in family groups. Mapusaurus may have been larger than Giganotosaurus, making it the largest meat eating dinosaur found so far.",,Saurischia,Giganotosaurinae
albertosaurus,carnivorous,Late Cretaceous 76-74 million years ago,Canada,large theropod,Yes,9.0m,1500kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,"Albertosaurus was a close relative of Tyrannosaurus, but smaller and not as heavily built.","saw-edged, flesh-slicing teeth",Saurischia,Albertosaurinae
dromaeosaurus,carnivorous,Late Cretaceous 76-74 million years ago,USA,small theropod,Yes,1.8m,15kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Matthew and Brown (1922),albertensis,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html,The back foot of this dinosaur had a large claw for kicking.,"small, razor-sharp, backward-curving teeth",Saurischia,Dromaeosauridae
acrocanthosaurus,carnivorous,Early Cretaceous 115-105 million years ago,USA,large theropod,Yes,12.0m,6600kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stovall and Langston (1950),atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,,,Saurischia,Carcharodontosauridae
