,nom,régime_alimentaire,période,habitat,type,bipède,longueur (m),poids (kg),nommé_par,espèce,sous-ordre_taxonomique,famille_taxonomique
40,Archaeopteryx,carnivore,Jurassique supérieur,Allemagne,petit théropode,Oui,0.5,1,Mayer (1861),lithographica,Saurischia,Archaeopterygidae
41,Aardonyx,herbivore,Jurassique inférieur,Afrique du Sud,prosauropode,Oui,8.0,1700,"Yates, Bonnan, Neveling, Chinsamy and Blackbeard 2010 (2009)",celestae,Saurischia,Anchisauria
42,Ammosaurus,herbivore,Jurassique inférieur,États-Unis,sauropode,Oui,5.0,290,Marsh (1891),major,Saurischia,Anchisauridae
43,Archaeoceratops,herbivore,Crétacé inférieur,Chine,cératopsien,Oui,1.3,57,Dong and Azuma (1987),oshimai,Ornithischia,Neoceratopsia
44,Atlascopcosaurus,herbivore,Crétacé inférieur,Australie,euornithopode,Oui,3.0,125,Rich and Rich (1989),loadsi,Ornithischia,Euornithopoda
46,Camptosaurus,herbivore,Jurassique supérieur,États-Unis,euornithopode,Oui,5.0,1000,Marsh (1885),dispar,Ornithischia,Ankylopollexia
47,Dracorez,herbivore,Jurassique supérieur,États-Unis,pachycéphalosaure,Oui,4.0,100,"Bakker, Sullivan, Porter, Larson and Saulsbury (2006)",hogwartsia,Ornithischia,Pachycephalosauridae
48,Gasparinisaura,herbivore,Crétacé supérieur,Argentine,petit ornithopode,Oui,0.8,13,Coria and Salgado (1996),cincosaltensis,Ornithischia,Euornithopoda
49,Hypsilophodon,herbivore,Crétacé inférieur,Royaume-Uni,petit ornithischien,Oui,2.0,20,Huxley (1869),foxii,Ornithischia,Neornithischia
50,Edmontosaurrus,herbivore,Crétacé supérieur,Canada,grand ornithopode,Oui,13.0,3400,Lambe (1917),regalis,Ornithischia,Hadrosaurinae
