NAME;DIET;PERIOD;LOCATION;TYPE;BIPEDAL;LENGTH;WEIGHT;NAMED BY;SPECIES;TAXONOMY SUBORDER;TAXONOMY FAMILY
Aardonyx;herbivorous;Early Jurassic,;South Africa;prosauropod;Yes;8.0m;1700kg;Yates, Bonnan, Neveling, Chinsamy and Blackbeard 2010 (2009);"
celestae";Saurischia,;Anchisauria
ammosaurus;herbivorous;Early Jurassic 195-180 million years ago;USA;sauropod;Yes;5.0m;290kg;Marsh (1891);major;Saurischia;Anchisauridae
archaeoceratops;herbivorous;Early Cretaceous 121-99 million years ago;China;ceratopsian;Yes;1.3m;57kg;Dong and Azuma (1987);oshimai;Ornithischia;Neoceratopsia
atlascopcosaurus;herbivorous;Early Cretaceous 121-97 million years ago;Australia;euornithopod;Yes;3.0m;125kg;Rich and Rich (1989);loadsi;Ornithischia;Euornithopoda
Agilisaurus;herbivorous;Late Jurassic, ;China;small ornithischian;Yes;1.5m;21kg;Peng (1990);;Ornithischia,;Euornithopoda
camptosaurus;herbivorous;Late Jurassic 155-145 million years ago;USA;euornithopod;Yes;5.0m;1000kg;Marsh (1885);dispar;Ornithischia;Ankylopollexia
Dracorez;herbivorous;Late Jurassic 155-145 million years ago;USA;pachycephalosaur;Yes;4.0m;100 kg;Bakker, Sullivan, Porter, Larson and Saulsbury (2006);hogwartsia;Ornithischia,;Pachycephalosauridae
Gasparinisaura;herbivorous;Late Cretaceous;Argentina;small ornithopod;Yes;0.8m;13kg;Coria and Salgado (1996);cincosaltensis;Ornithischia,;Euornithopoda
Hypsilophodon;herbivorous;Early Cretaceous;UK;small ornithischian;Yes;2.0m;20kg;Huxley (1869);foxii;Ornithischia,;Neornithischia
Edmontosaurrus;herbivorous;Late Cretaceous;Canada;large ornithopod;Yes;13.0m;3400kg;Lambe (1917);regalis;Ornithischia,;Hadrosaurinae
